SKU,START_DATE,END_DATE,DATE_QUALIFIER,DISCONTINUED,BRAND,PRODUCT_GROUP1,PRODUCT_GROUP2,PRODUCT_GROUP3,PRODUCT_GROUP4,PRODUCT_GROUP1_QTY,PRODUCT_GROUP2_QTY,PRODUCT_GROUP3_QTY,PRODUCT_GROUP4_QTY,DEPARTMENT1,ROOM1,ROOM2,ROOM3,ROOM4,ROOM5,ROOM6,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5,CATEGORY6,COLLECTION,FINISH1,FINISH2,FINISH3,MATERIAL,MOTION_TYPE1,MOTION_TYPE2,SECTIONAL,TYPE1,SUBTYPE1A,SUBTYPE1B,TYPE2,SUBTYPE2A,SUBTYPE2B,TYPE3,SUBTYPE3A,SUBTYPE3B,STYLE,SUITE,COUNTRY_OF_ORIGIN,MADE_IN_USA,BED_SIZE1,FEATURES1,TABLE_TYPE,SEAT_TYPE,WIDTH,DEPTH,HEIGHT,LENGTH,INSIDE_WIDTH,INSIDE_DEPTH,INSIDE_HEIGHT,WEIGHT,VOLUME,DIAMETER,ARM_HEIGHT,SEAT_DEPTH,SEAT_HEIGHT,SEAT_WIDTH,HEADBOARD_HEIGHT,FOOTBOARD_HEIGHT,NUMBER_OF_DRAWERS,NUMBER_OF_LEAVES,NUMBER_OF_SHELVES,CARTON_WIDTH,CARTON_DEPTH,CARTON_HEIGHT,CARTON_WEIGHT,CARTON_VOLUME,CARTON_LENGTH,PHOTO1,PHOTO2,PHOTO3,PHOTO4,PHOTO5,PHOTO6,PHOTO7,PHOTO8,PHOTO9,PHOTO10,INFO1,INFO2,INFO3,INFO4,INFO5,DESCRIPTION,PRODUCT_DESCRIPTION,SPECIFICATIONS,CONSTRUCTION,COLLECTION_FEATURES,WARRANTY,ADDITIONAL_INFORMATION,DISCLAIMER,VIEWTYPE,ITEM_URL
9775-DR-800,,,,,Bassett Mirror,,,,,,,,,,,,,,,,Furniture,Dining,Chairs,,,,Mackie Dining Chair,Gray,,,,,,,,,,,,,,,," Contemporary, Traditional",,,,,,,,20,26,39,,,,,,,,,,,,,,,,,,,,,,,'https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/5d/d3/64/65/6564d35d303b127b224f0198/9775-DR-800_3932fq.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/7e/ab/d3/65/65d3ab7e4288ead61eb5d5c4/9775-DR-800_A_zvs6pd.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/6b/d3/64/65/6564d36be5f36118fe7a883d/9775-DR-800_B.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/7b/d3/64/65/6564d37bece8cd6624fb422a/9775-DR-800_S1_gn2cdo.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/84/d3/64/65/6564d384ece8cd6624fb422c/9775-DR-800_S2.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/07/51/6f/65/656f51077c8788e7250dbb31/9775-DR-800_D_rbs0ef.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/3a/b5/1c/64/641cb53aeb4c191311cc4472/9775-DR-800_R .jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/d6/a7/23/64/6423a7d613e31c8ab29f9a85/9775-DR-800_R2.jpg?s=1000x',,,,,,,,"Traditional slipcover-style design, Exaggerated welt-detailing for added sophistication, Linen-like performance fabric in a dove color, Four casters for easy mobility","The Mackie Dining Chair brings a touch of timeless elegance to your dining space. Wrapped in a faux slipcover with linen-like performance fabric in a soothing dove color, this chair combines classic style with modern functionality. The exaggerated welt-detailing adds a sophisticated touch, while the four casters ensure easy mobility, allowing you to move it effortlessly around your dining room. Whether hosting a formal dinner or enjoying a casual meal, the Mackie Dining Chair promises comfort and style in every gathering.","Color/Finish: Gray; Color Details: Hempstead Dove; Material: Foam, Polyster, Rubberwood, Metal Caster; Style:  Contemporary, Traditional; Weight Capacity:  300 lbs; Fabric Content: 100% polyester; Shipping Weight: 23.00 lbs; Shipping Method: Small Parcel - Oversized",,,,"Foam, Polyster, Rubberwood, Metal Caster",,Normal,https://www.bassettmirror.com/detail.cfm?id=1369/9775-DR-800/Mackie Dining Chair
1153-DR-803,,,,,Bassett Mirror,,,,,,,,,,,,,,,,Furniture,Dining,Chairs,,,,Bellamy Parsons Dining Chair,Brown,,,,,,,,,,,,,,,," Traditional, Glam/Luxe",,,,,,,,20,25,38,,,,,,,,,,,,,,,,,,,,,,,'https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/b2/00/b1/66/66b100b215b07328584f78f5/1153-DR-803_A_setx53.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/a0/00/b1/66/66b100a015b07328584f78f4/1153-DR-803_B_ulec55.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/aa/00/b1/66/66b100aa450b8e4834f7a5df/1153-DR-803_S1_c0nwnr.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/f3/a8/0a/64/640aa8f3c855f72059401f52/1153-DR-803_R.jpg?s=1000x',,,,,,,,,,,,"Traditional style dining chair., Neutral color tones with beige upholested seat and back and ash gray wood legs., Fully upholstered back features button tufting with a diamond shape.",The Bellamy Parsons Dining Chair features a beige upholsted button tufted back with ash gray finished wooden legs. Elegant details stitching along the foam padded seat elevates the style of this dining chair.,"Color/Finish: Brown; Color Details: Upholstered Beige; Material: Rubberwood Solids; Style:  Traditional, Glam/Luxe; Collection:  Bellamy; Weight Capacity:  300 lbs; Shipping Weight: 21.00 lbs; Shipping Method: Small Parcel",,,,Rubberwood Solids,,Normal,https://www.bassettmirror.com/detail.cfm?id=1552/1153-DR-803/Bellamy Parsons Dining Chair
7096-DR-800,,,,,Bassett Mirror,,,,,,,,,,,,,,,,Furniture,Dining,Chairs,,,,Korey Dining Chair,White,,,,,,,,,,,,,,,," Coastal, Boho",,,,,,,,19,21,37,,,,,,,,,,,,,,,,,,,,,,,'https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/3a/31/87/64/6487313a884e7a9cdc339c6c/7096-DR-800.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/63/91/79/66/6679916308a33ce4dbef8365/7096-DR-800_B.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/45/31/87/64/648731451b5f0c24c6503207/7096-DR-800_S1.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/6d/91/79/66/6679916d3c0da73acbeb6e28/7096-DR-800_S1_exnlbw.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/22/e6/d4/64/64d4e62206dc2df550b356a9/7096-DR-800_D.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/e5/31/87/64/648731e5884e7a9cdc339c89/7096-DR-800_C.jpg?s=1000x',,,,,,,,,,"Features a modern Boho-Coastal inspired style, The solid wood frame is finished in a neutral white wash, The upholstered seat and seat back feature a heavily textured, ivory colored fabric, The tapered front legs have brushed nickel foot caps, Some assembly required, Look for other items in the Korey collection",The Korey Dining Chair features a modern mix of Boho meets Coastal design. The solid wood frame has a neutral white-washed finish. The upholstered seat and back features a heavily textured ivory fabric. The front tapered chair legs feature brushed nickel foot caps.,"Color/Finish: White; Color Details: White Wash Mindi; Material: Wood, 100% Polyester Fabric; Style:  Coastal, Boho; Collection:  Korey; Weight Capacity:  300 lbs; Fabric Content: 100% Polyester; Shipping Weight: 28.00 lbs; Shipping Method: Small Parcel - Oversized",,,,"Wood, 100% Polyester Fabric",,Normal,https://www.bassettmirror.com/detail.cfm?id=1020/7096-DR-800/Korey Dining Chair
9436-DR-800,,,,,Bassett Mirror,,,,,,,,,,,,,,,,Furniture,Dining,Chairs,,,,Nadine Dining Chair,White,,,,,,,,,,,,,,,," Coastal, Contemporary",,,,,,,,20,25,36,,,,,,,,,,,,,,,,,,,,,,,'https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/ef/ce/64/65/6564ceef303b127b224f0142/9436-DR-800.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/f8/ce/64/65/6564cef8616844f6e00ea3fd/9436-DR-800_A.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/fd/ce/64/65/6564cefdece8cd6624fb41c5/9436-DR-800_B.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/0a/cf/64/65/6564cf0a901ce9320a8dacb4/9436-DR-800_S1.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/11/cf/64/65/6564cf11901ce9320a8dacb5/9436-DR-800_S2.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/02/cf/64/65/6564cf02303b127b224f0143/9436-DR-800_D.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/1f/67/f4/65/65f4671f295583534050c6b7/9436-DR-800_R.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/25/67/f4/65/65f467255f18b477d8eee5b2/9436-DR-800_R2_d1tjqi.jpg?s=1000x',,,,,,,,,"The Nadine Dining Chair features a coastal contemporary inspired design and is constructed with solid wood in a bright white oak finish with a spindle back design in a durable light gray fabric seat. Finish: bright white, light gray fabric. Material: solid wood, fabric.","Color/Finish: White; Color Details: Bright White Oak/Brushed Nickel; Material: Wood/Nickel/Fabric/Foam; Style:  Coastal, Contemporary; Collection:  Nadine; Weight Capacity:  300 lbs; Shipping Weight: 22.00 lbs; Shipping Method: Small Parcel",,,,Wood/Nickel/Fabric/Foam,,Normal,https://www.bassettmirror.com/detail.cfm?id=561/9436-DR-800/Nadine Dining Chair
9840-DR-810,,,,,Bassett Mirror,,,,,,,,,,,,,,,,Furniture,Dining,Chairs,,,,Ryanne Arm Dining Chair,Brown,,,,,,,,,,,,,,,," Boho, Rustic",,,,,,,,21,21,29,,,,,,,,,,,,,,,,,,,,,,,'https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/65/5f/e9/63/63e95f65002f36906a209940/9840-DR-810EC_A.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/ae/a3/94/63/6394a3ae19f4c32350efd228/9840-DR-810.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/fd/a4/94/63/6394a4fd19f4c32350efd24d/9840-DR-810EC_B.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/5e/17/29/63/6329175e070dd8eb9d4c8a5b/9840-DR-810EC_S1.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/38/17/29/63/63291738078020f6d7b80dd9/9840-DR-810EC_S2.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/14/a5/94/63/6394a51413adaf392d87c74d/9840-DR-810EC_D.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/86/2a/f4/63/63f42a8631aaaecc7765119e/9840-DR-810EC_R.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/69/2a/f4/63/63f42a695969a63f3a5554a8/9840-DR-810EC_R2.jpg?s=1000x',,,,,,,,"Features a boho style, The bucket style seat features an open weave construction, Features a black steel frame supporting the brown rattan wrapped seat, Seat Dimensions: 16""W x 145""D x 175""H, Easy assembly required",The Ryanne Arm Dining Chair features boho styling. Features a medium brown rattan wrapped seat and with angled black metal legs. Features drive in floor glides on the leg bottom.,"Color/Finish: Brown; Color Details: Dark Rattan/Black; Material: Metal/Rattan; Style:  Boho, Rustic; Additional Dimensions: Seat Dimensions: 16""W x 14.5""D x 17.5""H; Weight Capacity:  300 lbs; Seat Height: 17.50""; Shipping Weight: 14.00 lbs; Shipping Method: Small Parcel - Oversized",,,,Metal/Rattan,,Normal,https://www.bassettmirror.com/detail.cfm?id=1203/9840-DR-810/Ryanne Arm Dining Chair
8630-DR-800,,,,,Bassett Mirror,,,,,,,,,,,,,,,,Furniture,Dining,Chairs,,,,Ventana Side Chair,Blue,,,,,,,,,,,,,,,, Coastal,,,,,,,,28,21,37,,,,,,,,,,,,,,,,,,,,,,,'https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/4b/b0/0a/64/640ab04b5e56a2c718d1d5a9/8630-DR-800EC_A.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/6b/b0/0a/64/640ab06b02b299934e275f89/8630-DR-800EC_B.jpg?s=1000x',,,,,,,,,,,,,,,"Granada Side Chair is a bistro style char. Seat Dimensions: 17D x 17W x 18.5H. Finish: Natural, white, blue. Material: Rattan / PU Weaving.",Color/Finish: Blue; Color Details: WHITE; Material: Rattan/PU; Style:  Coastal; Collection:  Ventana; Additional Dimensions: packed 2 per carton; Weight Capacity:  300 lbs; Shipping Weight: 11.00 lbs; Shipping Method: Small Parcel - Oversized,,,,Rattan/PU,,Normal,https://www.bassettmirror.com/detail.cfm?id=1114/8630-DR-800/Ventana Side Chair
5470-DR-810,,,,,Bassett Mirror,,,,,,,,,,,,,,,,Furniture,Dining,Chairs,,,,Polygon Dining Chair,Gray,,,,,,,,,,,,,,,," Contemporary, Glam/Luxe",,,,,,,,21,23,35,,,,,,,,,,,,,,,,,,,,,,,'https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/a3/bf/c5/62/62c5bfa302527cfb810cfdd0/5470-DR-810.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/a3/bf/c5/62/62c5bfa302527cfb810cfdce/5470-DR-810_A.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/91/d0/c5/62/62c5d091dd312be5462bf586/0fe6f0b9334c33aad4699ea3a0e4367be0f3c8db-full[1].jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/82/d0/c5/62/62c5d08267be4d66c15b2320/51cd3770643288737bc80ff8e9aa93e686c6a423-full[1].jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/a3/bf/c5/62/62c5bfa302527cfb810cfdca/5470-DR-810_D.jpg?s=1000x',,,,,,,,,,,"Sleek, modern design with clean lines and a minimalist aesthetic., Durable metal frame with a polished stainless steel finish for a contemporary look., Comfortable, cushioned seat and backrest upholstered in soft, dark fabric., Lightweight construction for easy movement and versatility in various spaces.",Sleek  polished stainless angles that wrap around an upholstered seat compose a comfortable and handsome chair statement for your contemporary dining space.,"Color/Finish: Gray; Color Details: Stainless Steel; Material: Metal; Style:  Contemporary, Glam/Luxe; Collection:  Polygon; Weight Capacity:  300 lbs; Shipping Weight: 29.00 lbs; Shipping Method: Small Parcel - Oversized",,,,Metal,,Normal,https://www.bassettmirror.com/detail.cfm?id=1710/5470-DR-810/Polygon Dining Chair
9790-DR-800,,,,,Bassett Mirror,,,,,,,,,,,,,,,,Furniture,Dining,Chairs,,,,Paul Side Dining Chair,Black,,,,,,,,,,,,,,,," Contemporary, Modern",,,,,,,,19,22,35,,,,,,,,,,,,,,,,,,,,,,,'https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/ff/a8/94/63/6394a8ff3838fff4aa629d81/9790-DR-800EC_A.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/ae/a8/94/63/6394a8ae253b8801e00c4d78/9790-DR-800EC.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/24/a9/94/63/6394a924253b8801e00c4d98/9790-DR-800EC_B.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/ac/91/f5/63/63f591ac685ae95bd6bfac64/9790-DR-800EC_S1.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/40/a9/94/63/6394a940253b8801e00c4d9e/9790-DR-800EC_D.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/45/7c/bc/63/63bc7c45d35fc5db2440db62/9790-DR-800EC_R.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/56/7c/bc/63/63bc7c56c2748a954209f517/9790-DR-800EC_R2.jpg?s=1000x',,,,,,,,,"The Paul Dining Chair features a contempoary modern style, The tapered back and curved seat are upholstered in a charcoal vegan leather, The metal chair frame features four thin, angled legs in a black finish, Features a high density foam seat cushion for comfort and support, Seat Dimensions: 1828""W x 16""D x 175""H, Easy assembly required","The Paul Side Chair features contemporary styling. The modern tapered back and seat are upholstered in a charcoal vegan leather detailed with oversized stitching on the sides. The black metal chair frame features angled legs and an X detail base. Seat Dimensions: 18.28""W x 16""D x 17.5""H. Additional features include drive in floor glides on the legs and a high density foam seat cushion.","Color/Finish: Black; Color Details: Black/Charcoal; Material: Metal/Upholstery; Style:  Contemporary, Modern; Additional Dimensions: Seat Dimensions: 18.28""W x 16""D x 17.5""H; Weight Capacity:  300 lbs; Seat Height: 17.50""; Fabric Content: Faux Leather; Shipping Weight: 15.00 lbs; Shipping Method: Small Parcel",,,,Metal/Upholstery,,Normal,https://www.bassettmirror.com/detail.cfm?id=1206/9790-DR-800/Paul Side Dining Chair
9630-DR-800,,,,,Bassett Mirror,,,,,,,,,,,,,,,,Furniture,Dining,Chairs,,,,Trucco Dining Chair,Brown,,,,,,,,,,,,,,,," Modern, Industrial",,,,,,,,21,24,34,,,,,,,,,,,,,,,,,,,,,,,'https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/c7/3a/e2/65/65e23ac7c7a823b021c4703f/9630-DR-800.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/ea/74/a4/63/63a474eaee2a5b02c962b965/9630-DR-800EC.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/eb/3a/e2/65/65e23aebc7a823b021c47043/9630-DR-800_B.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/f8/3a/e2/65/65e23af8c7a823b021c47048/9630-DR-800_S1.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/89/e9/d7/63/63d7e989bd5bcbdd3c54e4c4/9630-DR-800EC_D.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/b5/e5/d7/63/63d7e5b5bd5bcbdd3c54e44e/9630-DR-800EC_R.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/4f/ea/2a/65/652aea4fc9e0268655d39719/9630-DR-800_R2.jpg?s=1000x',,,,,,,,,"Features transitional styling with the neutral color pallet and angular chair frame, The metal legs feature an angled x-base frame and are finished in a bronze powder coat, Sit in comfort with the high density foam seat cushion, The solid back chair is upholstered in a taupe fabric featuring shades of gray and brown, Easy assembly required, Look for the Trucco Dining Table to complete the set",The Trucco Side Chair is a modern transitional design with angled legs and an X detail base.  Finishes include bronze powder coated legs and a taupe upholstered solid back and seat. Drive in floor glides on the leg bottom and high density foam seat cushion are added features.,"Color/Finish: Brown; Color Details: Bronze; Material: Metal/Upholstery; Style:  Modern, Industrial; Collection:  Trucco; Weight Capacity:  300 lbs; Shipping Weight: 31.00 lbs; Shipping Method: Small Parcel - Oversized",,,,Metal/Upholstery,,Normal,https://www.bassettmirror.com/detail.cfm?id=1216/9630-DR-800/Trucco Dining Chair
9745-DR-800,,,,,Bassett Mirror,,,,,,,,,,,,,,,,Furniture,Dining,Chairs,,,,Brianne Navy Dining Chair,Blue,,,,,,,,,,,,,,,, Modern,,,,,,,,24,20,34,,,,,,,,,,,,,,,,,,,,,,,'https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/98/3d/87/64/64873d981b5f0c24c6503407/9745-DR-800.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/25/3e/87/64/64873e2502f80e30ffa8c524/9745-DR-800_S1.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/db/d2/64/65/6564d2db303b127b224f018a/9745-DR-800_S2.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/eb/d2/64/65/6564d2ebece8cd6624fb41f9/9745-DR-800_S3.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/50/e7/d4/64/64d4e75006dc2df550b356bf/9745-DR-800_D.jpg?s=1000x',,,,,,,,,,,"The Brianne Dining Chair exudes modern glamour with its bold design and sumptuous navy blue low-pile velvet fabric, Crafted with a solid hardwood frame and high-density foam, it's built to last and ensures exceptional comfort, The striking, dramatically shaped back and fully wrapped upholstered legs make a bold style statement, Trust in the quality of the Brianne Dining Chair to not only elevate your decor but also provide a cozy, stylish dining, Requires partial assembly for setup","Meet the Brianne Dining Chair, your gateway to modern glamour and comfort. Its striking, dramatically shaped back and fully wrapped upholstered legs make a bold style statement.  Crafted with a solid hardwood frame and high-density foam, it's built to last and provide exceptional comfort. The sumptuous navy blue low-pile velvet performance fabric adds a touch of luxury to your dining space. Trust in the quality of the Brianne Dining Chair to not only elevate your decor but also offer you a cozy, stylish dining experience.","Color/Finish: Blue; Color Details: Navy Blue; Material: Wood, Foam, Polyester Fabric; Style:  Modern; Collection:  Brianne; Weight Capacity:  300 lbs; Fabric Content: 100% polyester; Shipping Weight: 23.00 lbs; Shipping Method: Small Parcel",,,,"Wood, Foam, Polyester Fabric",,Normal,https://www.bassettmirror.com/detail.cfm?id=1019/9745-DR-800/Brianne Navy Dining Chair
7058-DR-800,,,,,Bassett Mirror,,,,,,,,,,,,,,,,Furniture,Dining,Chairs,,,,Mandao Chair,Brown,,,,,,,,,,,,,,,, Boho,,,,,,,,21,18,34,,,,,,,,,,,,,,,,,,,,,,,'https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/56/71/09/64/640971568031629126b27f34/7058-DR-800EC_A.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/50/71/09/64/640971508031629126b27f33/7058-DR-800EC.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/eb/90/79/66/667990eb6228cbd7c25b06d8/7058-DR-800_B.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/6a/71/09/64/6409716a8031629126b27f36/7058-DR-800EC_S1.jpg?s=1000x',,,,,,,,,,,,"Chair constructed of handwoven seagrass, Seat supported by black iron legs and frame, Thin metal legs feature ""X"" joinery connecting them, Tan seagrass creates a unique pattern on seat back, Easy assembly required, less than 30 minutes Simply attach seat to base","Mandao Side Chair features hand-woven, tan seagrass twisted and shaped over a matte black iron frame. The thin metal legs feature an ""X"" cross bar style beneath the seat.","Color/Finish: Brown; Color Details: Natural Seagrass; Material: Metal, Seagrass; Style:  Boho; Additional Dimensions: packed 1 per carton; Weight Capacity:  300 lbs; Shipping Weight: 19.00 lbs; Shipping Method: Small Parcel",,,,"Metal, Seagrass",,Normal,https://www.bassettmirror.com/detail.cfm?id=1118/7058-DR-800/Mandao Chair
3170-DR-800,,,,,Bassett Mirror,,,,,,,,,,,,,,,,Furniture,Dining,Chairs,,,,Kinzie Side,Brown,,,,,,,,,,,,,,,, Traditional,,,,,,,,21,23,42,,,,,,,,,,,,,,,,,,,,,,,'https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/30/ef/1b/67/671bef30032c1e4c3ff358e0/3170-DR-800_oi7rpu.jpg?s=1000x','https://files.plytix.com/api/v1.1/file/public_files/pim/assets/99/e7/bd/62/62bde79981697600089987d9/images/93/27/93/64/64932793745fc72031268041/3170-DR-800_S1.jpg?s=1000x',,,,,,,,,,,,,,"Features a classic wooden ladder-back style with a warm, natural wood finish., Padded seat upholstered in a neutral fabric for a cozy dining experience., Sturdy wooden frame with gently curved legs for both style and stability.","The Kinzie Side chair is an updated ladder-back style chair, perfectly pitched so you can enjoy a long dinner with friends. Upholstered in a natural linen look.",Color/Finish: Brown; Color Details: Brown; Material: Wood/Linen; Style:  Traditional; Collection:  Kinzie; Weight Capacity:  300 lbs; Shipping Weight: 50.00 lbs; Shipping Method: Small Parcel,,,,Wood/Linen,,Normal,https://www.bassettmirror.com/detail.cfm?id=1474/3170-DR-800/Kinzie Side
